location_id,muni_name,party_acronym,political_party_slug,political_party_long_name,seats_available,party_seats,rank
23035,Fuerte del Rey,PP,pp,PARTIDO POPULAR,9,2,3
23038,"Guardia de Jaén, La",Cs,NA,NA,11,1,3
23039,Guarromán,ALTERNATIVA POR GUARROMAN,NA,NA,11,1,3
23044,Huelma,PP,pp,PARTIDO POPULAR,13,2,3
23045,Huesa,PP,pp,PARTIDO POPULAR,11,2,3
23046,Ibros,ADELANTE,NA,NA,11,2,3
23048,Iznatoraf,Cs,NA,NA,7,1,3
23051,Jamilena,PP,pp,PARTIDO POPULAR,11,2,3
23050,Jaén,Cs,NA,NA,27,4,3
23053,Jódar,PODEMOS,NA,NA,17,2,3
23040,Lahiguera,PP,pp,PARTIDO POPULAR,9,3,3
23055,Linares,Cs,NA,NA,25,5,3
23056,Lopera,PP,pp,PARTIDO POPULAR,11,2,3
23057,Lupión,PP,pp,PARTIDO POPULAR,7,1,3
23058,Mancha Real,Cs,NA,NA,17,1,3
23059,Marmolejo,PP,pp,PARTIDO POPULAR,13,1,3
23060,Martos,PP,pp,PARTIDO POPULAR,21,4,3
23061,Mengíbar,PLIM,NA,NA,13,2,3
23063,Navas de San Juan,IU ANDALUCIA,NA,NA,11,1,3
23067,Pegalajar,Pegalajar con la Gente,NA,NA,11,2,3
23069,Porcuna,PP,pp,PARTIDO POPULAR,13,1,3
23070,Pozo Alcón,Cs,NA,NA,11,1,3
23074,Rus,PP,pp,PARTIDO POPULAR,11,2,3
23075,Sabiote,IU ANDALUCIA,NA,NA,11,1,3
23904,Santiago-Pontones,PP,pp,PARTIDO POPULAR,11,1,3
23084,Sorihuela del Guadalimar,PP,pp,PARTIDO POPULAR,9,2,3
23086,Torredelcampo,ADELANTE,NA,NA,17,1,3
23087,Torredonjimeno,I.U. ANDALUCIA,NA,NA,17,5,3
23088,Torreperogil,ADELANTE,NA,NA,13,2,3
23094,Vilches,PP,pp,PARTIDO POPULAR,11,1,3
23096,Villanueva de la Reina,PP,pp,PARTIDO POPULAR,11,1,3
23097,Villanueva del Arzobispo,IPVA,NA,NA,13,3,3
23903,Villatorres,PSOE-A,NA,NA,11,3,3
23005,Andújar,ADELANTE,NA,NA,21,1,4
23009,Baeza,IU ANDALUCÍA,NA,NA,17,1,4
23024,"Carolina, La",ADELANTE,NA,NA,17,1,4
23051,Jamilena,Cs,NA,NA,11,1,4
23050,Jaén,ADELANTE,NA,NA,27,2,4
